,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Set
1886,Resort Hotel,0,6,2017,January,4,24,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,2,7,A,E,0,No Deposit,,135.0,0,Transient,38.5,1,2,Check-Out,2017-01-25,train
1887,City Hotel,1,140,2016,July,32,31,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,113.9,0,0,Canceled,2016-03-16,train
1888,City Hotel,1,87,2015,September,39,25,2,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0,0,Canceled,2015-09-09,train
1889,City Hotel,0,228,2016,October,45,30,2,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,87.9,0,0,Check-Out,2016-11-02,train
1890,City Hotel,0,50,2017,March,9,1,0,4,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient,72.0,0,1,Check-Out,2017-03-05,train
1891,City Hotel,1,139,2017,June,24,12,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20.0,,0,Transient,110.0,0,0,Canceled,2017-01-24,train
1892,City Hotel,0,30,2016,August,32,5,1,2,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,1,Check-Out,2016-08-08,train
1893,City Hotel,1,28,2017,March,9,2,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,95.0,0,0,Canceled,2017-02-02,train
1894,Resort Hotel,0,0,2017,March,13,29,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,70.0,0,2,Check-Out,2017-03-31,train
1895,City Hotel,1,136,2016,July,29,16,1,1,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,121.5,0,0,Canceled,2016-03-04,train
1896,City Hotel,0,1,2016,December,52,23,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,152.0,,0,Transient,59.03,0,1,Check-Out,2016-12-24,train
1897,City Hotel,1,175,2017,May,20,19,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,44.0,,0,Transient,90.0,0,0,Canceled,2016-11-25,train
1898,Resort Hotel,0,324,2017,August,33,13,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,134.85,0,0,Check-Out,2017-08-27,train
1899,City Hotel,1,67,2016,December,51,17,2,6,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,1,Canceled,2016-10-20,train
1900,City Hotel,1,134,2017,February,8,25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,,0,Transient-Party,75.0,0,0,Canceled,2017-02-24,train
1901,Resort Hotel,1,173,2017,August,33,18,2,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,200.0,0,1,Canceled,2017-02-28,train
1902,City Hotel,1,127,2017,March,10,11,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,0,Transient,80.0,0,0,Canceled,2017-01-10,train
1903,Resort Hotel,0,4,2015,November,45,1,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,39.0,0,0,Check-Out,2015-11-02,train
1904,Resort Hotel,0,5,2015,November,48,28,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171.0,,0,Transient,29.0,0,0,Check-Out,2015-11-29,train
1905,City Hotel,0,77,2016,March,13,24,0,3,3,2.0,0,BB,ESP,Direct,Direct,0,0,0,G,G,0,No Deposit,14.0,,0,Transient,243.9,1,1,Check-Out,2016-03-27,train
1906,City Hotel,1,94,2016,April,16,14,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,105.3,0,0,Canceled,2016-01-20,train
1907,Resort Hotel,1,44,2016,July,31,29,0,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,211.0,0,0,Canceled,2016-06-16,train
1908,City Hotel,1,159,2017,August,31,4,1,2,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,175.5,0,0,Canceled,2017-04-09,train
1909,City Hotel,0,48,2017,July,30,24,1,3,2,1.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,159.0,,0,Transient,101.09,0,0,Check-Out,2017-07-28,train
1910,Resort Hotel,1,25,2017,July,29,17,1,1,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,338.0,0,1,Canceled,2017-07-04,train
1911,Resort Hotel,0,106,2017,May,19,7,2,5,1,0.0,0,BB,GBR,Offline TA/TO,Direct,1,0,1,A,A,0,No Deposit,40.0,,0,Contract,34.2,0,0,Check-Out,2017-05-14,train
1912,City Hotel,0,291,2016,December,53,28,2,4,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,80.75,0,2,Check-Out,2017-01-03,train
1913,Resort Hotel,0,17,2016,October,45,30,2,4,2,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,55.65,0,1,Check-Out,2016-11-05,train
1914,City Hotel,0,86,2015,December,53,30,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,81.86,0,1,Check-Out,2016-01-02,train
1915,City Hotel,1,119,2017,February,5,4,2,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,84.24,0,1,Canceled,2016-11-30,train
1916,Resort Hotel,0,7,2016,January,3,15,0,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient,29.0,0,1,Check-Out,2016-01-17,train
1917,City Hotel,0,156,2017,August,33,19,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,130.5,0,2,Check-Out,2017-08-20,train
1918,Resort Hotel,1,16,2017,May,19,10,0,3,2,2.0,0,BB,MAR,Online TA,TA/TO,0,0,0,C,C,2,No Deposit,240.0,,0,Transient,130.0,0,1,Canceled,2017-04-25,train
1919,City Hotel,0,16,2016,December,53,29,0,2,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,140.0,0,0,Check-Out,2016-12-31,train
1920,City Hotel,1,11,2017,April,15,14,1,2,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,138.33,0,0,Canceled,2017-04-06,train
1921,City Hotel,1,317,2016,September,37,9,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,58.0,,56,Transient,90.0,0,0,Canceled,2015-12-23,train
1922,City Hotel,0,12,2015,August,32,5,0,3,2,0.0,0,BB,RUS,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,38.0,0,Transient-Party,65.0,0,0,Check-Out,2015-08-08,train
1923,City Hotel,1,379,2015,October,44,31,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-07-23,train
1924,Resort Hotel,1,74,2017,February,7,18,1,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,498.0,0,Transient-Party,40.0,0,0,Canceled,2017-02-01,train
1925,City Hotel,0,16,2017,July,27,6,0,2,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,171.0,0,1,Check-Out,2017-07-08,train
1926,Resort Hotel,1,46,2017,April,15,14,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,93.0,0,0,Canceled,2017-02-28,train
1927,Resort Hotel,1,161,2015,September,36,1,0,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,93.12,0,2,Canceled,2015-07-01,train
1928,Resort Hotel,1,34,2015,December,49,4,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,58.0,0,2,Canceled,2015-11-12,train
1929,City Hotel,0,51,2017,March,9,4,0,1,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,133.2,0,1,Check-Out,2017-03-05,train
1930,City Hotel,0,81,2016,May,21,15,2,0,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,A,B,0,No Deposit,133.0,,0,Transient-Party,90.0,0,1,Check-Out,2016-05-17,train
1931,City Hotel,0,216,2017,July,26,1,2,5,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,156.6,0,2,Check-Out,2017-07-08,train
1932,Resort Hotel,1,0,2016,November,46,7,1,0,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient-Party,85.0,0,0,Canceled,2016-11-07,train
1933,City Hotel,0,0,2017,June,25,21,0,1,1,0.0,0,BB,PRT,Complementary,Direct,1,4,16,E,C,0,No Deposit,,45.0,0,Transient,0.0,0,3,Check-Out,2017-06-22,train
1934,City Hotel,1,267,2016,December,52,23,2,7,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,77.73,0,0,Canceled,2016-03-31,train
1935,City Hotel,1,86,2016,October,45,31,1,3,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.23,0,0,Canceled,2016-08-06,train
1936,Resort Hotel,0,3,2016,January,1,2,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,330.0,,0,Transient,46.0,0,0,Check-Out,2016-01-03,train
1937,Resort Hotel,0,0,2015,November,48,24,0,2,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,E,0,No Deposit,,84.0,0,Transient,0.0,0,0,Check-Out,2015-11-26,train
1938,City Hotel,1,13,2015,October,41,7,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,9.0,,0,Contract,155.0,0,2,Canceled,2015-09-30,train
1939,Resort Hotel,0,42,2016,March,14,28,1,4,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,1,No Deposit,240.0,,0,Transient,105.0,0,0,Check-Out,2016-04-02,train
1940,Resort Hotel,0,50,2015,November,45,3,4,11,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,,0,Transient,21.37,0,1,Check-Out,2015-11-18,train
1941,Resort Hotel,0,60,2017,July,31,31,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,257.75,0,2,Check-Out,2017-08-04,train
1942,City Hotel,0,256,2016,October,43,16,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,,333.0,0,Transient-Party,100.75,0,0,Check-Out,2016-10-21,train
1943,Resort Hotel,1,304,2017,June,23,8,2,3,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,298.0,,0,Transient,66.0,0,0,Canceled,2017-03-20,train
1944,City Hotel,1,364,2015,October,42,16,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06,train
1945,City Hotel,1,51,2017,June,25,20,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,240.0,0,1,Canceled,2017-05-03,train
1946,City Hotel,1,97,2015,October,41,5,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0,Canceled,2015-07-03,train
1947,City Hotel,1,109,2016,August,35,24,0,4,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,152.1,0,0,Canceled,2016-05-09,train
1948,City Hotel,0,13,2016,March,13,20,1,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,220.0,,0,Transient,85.0,0,0,Check-Out,2016-03-21,train
1949,Resort Hotel,1,40,2016,May,21,18,0,2,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,,,0,Transient,55.0,0,0,Canceled,2016-04-13,train
1950,City Hotel,0,22,2016,May,20,13,0,2,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,D,E,0,No Deposit,,,0,Transient,92.5,0,3,Check-Out,2016-05-15,train
1951,City Hotel,1,334,2015,September,38,16,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,60.0,0,0,Canceled,2015-07-02,train
1952,Resort Hotel,0,1,2015,October,42,13,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,66.0,0,1,Check-Out,2015-10-14,train
1953,City Hotel,0,9,2016,March,12,17,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,179.0,0,Transient,79.0,0,1,Check-Out,2016-03-18,train
1954,City Hotel,1,87,2016,May,22,22,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,126.9,0,0,Canceled,2016-04-23,train
1955,Resort Hotel,0,27,2015,September,36,1,0,3,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,,0,Transient,153.0,0,2,Check-Out,2015-09-04,train
1956,Resort Hotel,0,247,2017,August,33,16,2,6,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,96.0,,0,Transient,139.28,0,1,Check-Out,2017-08-24,train
1957,City Hotel,0,10,2016,April,15,9,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,90.0,0,1,Check-Out,2016-04-11,train
1958,Resort Hotel,0,8,2016,October,43,21,0,2,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,,0,Transient,129.0,0,0,Check-Out,2016-10-23,train
1959,City Hotel,1,127,2016,October,42,12,0,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.3,0,2,Canceled,2016-09-06,train
1960,City Hotel,0,72,2015,September,38,18,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,108.0,0,0,Check-Out,2015-09-19,train
1961,City Hotel,0,15,2015,September,36,5,1,1,1,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,73.15,0,1,Check-Out,2015-09-07,train
1962,City Hotel,0,128,2017,May,21,26,0,2,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9.0,,0,Transient-Party,144.0,0,2,Check-Out,2017-05-28,train
1963,City Hotel,0,0,2016,October,42,13,0,1,1,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,B,0,No Deposit,,,0,Transient,170.0,0,0,Check-Out,2016-10-14,train
1964,City Hotel,1,34,2015,December,50,8,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,0,Transient,90.0,0,0,Canceled,2015-11-17,train
1965,City Hotel,0,108,2016,December,53,25,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,104.0,0,2,Check-Out,2016-12-29,train
1966,City Hotel,1,87,2015,August,33,14,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,12.0,0,0,Canceled,2015-06-15,train
1967,City Hotel,0,162,2017,June,26,28,0,4,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,117.85,0,3,Check-Out,2017-07-02,train
1968,City Hotel,0,7,2017,July,28,14,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,142.5,0,0,Check-Out,2017-07-16,train
1969,City Hotel,0,93,2017,May,18,1,1,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,52.0,,0,Transient,89.1,0,0,Check-Out,2017-05-04,train
1970,City Hotel,0,150,2016,September,40,26,1,0,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,80.75,0,0,Check-Out,2016-09-27,train
1971,Resort Hotel,0,186,2017,January,1,3,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,314.0,,0,Transient,51.6,0,0,Check-Out,2017-01-10,train
1972,City Hotel,1,17,2016,February,6,6,2,5,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,68.0,0,1,Canceled,2016-01-21,train
1973,City Hotel,0,5,2016,May,21,16,1,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,150.0,,0,Transient,98.32,0,0,Check-Out,2016-05-20,train
1974,Resort Hotel,0,6,2017,February,7,12,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,65.0,0,2,Check-Out,2017-02-16,train
1975,City Hotel,1,260,2015,July,27,4,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-06-16,train
1976,Resort Hotel,0,161,2016,June,25,15,2,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,116.5,1,3,Check-Out,2016-06-21,train
1977,City Hotel,0,18,2016,March,12,17,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,95.48,0,1,Check-Out,2016-03-18,train
1978,Resort Hotel,0,335,2017,July,28,10,1,1,2,2.0,0,BB,DNK,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,228.0,1,0,Check-Out,2017-07-12,train
1979,City Hotel,1,335,2015,September,38,17,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,5.0,,0,Transient,85.0,0,0,Canceled,2015-05-14,train
1980,City Hotel,0,19,2015,December,52,22,0,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,58.0,0,1,Check-Out,2015-12-26,train
1981,City Hotel,1,286,2015,July,31,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0,Canceled,2014-10-17,train
1982,City Hotel,0,0,2016,December,52,21,0,0,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,2,6,A,A,1,No Deposit,94.0,,0,Transient,0.0,0,2,Check-Out,2016-12-21,train
1983,Resort Hotel,0,0,2015,November,47,18,0,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,88.0,0,Transient,35.0,0,0,Check-Out,2015-11-20,train
1984,City Hotel,0,151,2016,August,36,28,2,2,2,2.0,0,HB,AUT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,226.35,0,2,Check-Out,2016-09-01,train
1985,Resort Hotel,0,65,2016,July,31,29,1,2,2,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Transient,192.67,0,1,Check-Out,2016-08-01,train
1986,Resort Hotel,1,247,2015,October,41,9,1,2,2,0.0,0,FB,ESP,Groups,TA/TO,0,1,0,A,A,0,Non Refund,68.0,,0,Transient,81.0,0,0,Canceled,2015-09-02,train
1987,City Hotel,1,97,2016,March,13,20,2,5,1,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,9,Transient,79.43,0,0,Canceled,2015-12-23,train
1988,Resort Hotel,0,192,2017,July,29,22,3,6,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,,0,Transient,227.6,1,2,Check-Out,2017-07-31,train
1989,City Hotel,0,0,2015,August,32,7,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.0,0,0,Check-Out,2015-08-08,train
1990,City Hotel,0,0,2017,August,32,7,1,0,3,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,210.0,0,0,Check-Out,2017-08-08,train
1991,Resort Hotel,0,16,2017,August,33,15,1,5,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,169.48,0,1,Check-Out,2017-08-21,train
1992,Resort Hotel,1,205,2017,May,20,19,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,67.32,0,0,Canceled,2016-12-06,train
1993,City Hotel,1,336,2015,September,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,109.0,0,0,Canceled,2015-03-25,train
1994,Resort Hotel,0,207,2017,February,7,13,1,3,3,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,1,No Deposit,152.0,,113,Transient-Party,88.0,0,0,Check-Out,2017-02-17,train
1995,City Hotel,0,1,2016,January,5,30,1,1,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,101.0,0,1,Check-Out,2016-02-01,train
1996,City Hotel,0,1,2016,January,2,3,2,1,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,97.0,0,0,Check-Out,2016-01-06,train
1997,City Hotel,0,149,2016,July,32,31,2,1,3,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,123.5,0,1,Check-Out,2016-08-03,train
1998,City Hotel,1,281,2015,July,30,25,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-06,train
1999,City Hotel,1,181,2017,June,23,8,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,0,Transient,100.0,0,0,Canceled,2017-01-24,train
2000,City Hotel,0,0,2017,August,32,9,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,B,0,No Deposit,,,0,Transient,140.0,0,0,Check-Out,2017-08-10,train
2001,City Hotel,0,50,2017,April,15,11,0,3,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,1,Check-Out,2017-04-14,train
2002,City Hotel,1,168,2016,April,17,22,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,26.0,,77,Transient,85.0,0,0,Canceled,2016-01-22,train
2003,Resort Hotel,0,50,2017,June,23,8,0,1,2,0.0,0,BB,USA,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,165.0,0,0,Check-Out,2017-06-09,train
2004,Resort Hotel,0,0,2017,February,7,18,0,1,2,0.0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,60.0,0,1,Check-Out,2017-02-19,train
2005,City Hotel,1,187,2017,July,28,9,2,3,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,120.6,0,0,Canceled,2017-01-26,train
2006,City Hotel,1,42,2016,September,39,18,2,0,1,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.5,0,1,Canceled,2016-08-17,train
2007,City Hotel,0,240,2016,October,44,27,1,3,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient-Party,90.95,0,2,Check-Out,2016-10-31,train
2008,Resort Hotel,1,64,2016,February,7,11,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,15.0,,0,Transient,29.0,0,0,Canceled,2015-12-30,train
2009,Resort Hotel,1,237,2017,May,18,3,0,1,2,0.0,0,HB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,92.0,0,0,Canceled,2016-10-06,train
2010,City Hotel,0,41,2016,March,12,13,2,1,1,0.0,0,BB,POL,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,,193.0,0,Transient-Party,70.33,0,0,Check-Out,2016-03-16,train
2011,Resort Hotel,0,54,2016,December,53,25,1,0,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,55.0,0,0,Check-Out,2016-12-26,train
2012,City Hotel,1,113,2016,May,23,31,0,3,1,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,Non Refund,,202.0,0,Transient,100.0,0,0,Canceled,2016-04-11,train
2013,City Hotel,1,4,2016,August,34,20,0,1,2,0.0,0,BB,PRT,Online TA,Corporate,0,0,0,A,A,0,Non Refund,,47.0,0,Transient,121.6,0,0,Canceled,2016-08-17,train
2014,Resort Hotel,0,100,2015,July,28,6,3,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,241.0,,0,Transient,63.86,0,1,Check-Out,2015-07-16,train
2015,City Hotel,1,59,2017,January,4,23,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,326.0,,0,Transient,80.0,0,0,Canceled,2016-11-25,train
2016,Resort Hotel,1,163,2017,August,34,24,2,5,2,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient,188.03,0,0,Canceled,2017-03-22,train
